label,T,sigma_fT,rho_eff,forward_gain,spread,lin_ratio,fd_delta_eps1e-3,fd_delta_eps1,linearisation_valid
a1r_div_2080,1,22271.5546875,22271.5546875,33.921043395996094,0.1970883011817932,32.526704974526155,1090.6322021484375,35474.671875,False
a1r_div_2080,2,52498.5234375,229.12556260160062,40.7580451965332,0.021165933459997177,1.439821828644982,38856.5546875,55946.515625,False
a1r_div_2080,4,75507.7421875,16.57669210886639,55.639129638671875,0.03018980473279953,0.9960627486570444,76683.4140625,76381.4921875,False
a1r_div_2080,6,0.0,nan,66.49305725097656,0.0,1.0020985092739025,92911.9375,93106.9140625,False
a1r_div_2080,8,0.0,nan,76.20744323730469,0.0,0.9777176191405207,107640.75,105242.2578125,False
a1r_div_4160,1,6385.7158203125,6385.7158203125,6.996737480163574,0.03335355594754219,18.24532261131717,464.5845031738281,8476.494140625,False
a1r_div_4160,2,19337.646484375,139.05986654809863,14.874189376831055,0.042653199285268784,1.2767495567780458,15129.138671875,19316.12109375,False
a1r_div_4160,4,34604.08203125,13.6389781370068,25.41429328918457,0.039184097200632095,1.0004802834509174,33142.86328125,33158.78125,False
a1r_div_4160,6,0.0,nan,34.063392639160156,0.0,1.0143944672881362,43159.21484375,43780.46875,False
a1r_div_4160,8,0.0,nan,42.26860427856445,0.0,1.0107314459865446,52717.44140625,53283.17578125,False
a1_lived_5k,1,77.94629669189453,77.94629669189453,1.2835419178009033,0.11648989468812943,886.6909086455203,1.2457993030548096,1104.638916015625,True
a1_lived_5k,2,123.66991424560547,11.120697561106743,1.2437773942947388,0.1580198109149933,821.6845380094331,1.3752930164337158,1130.0570068359375,True
a1_lived_5k,4,798.1365966796875,5.315196272501992,1.5393816232681274,0.5003098845481873,670.2399877601033,2.156693458557129,1445.502197265625,True
a1_lived_5k,6,1008.1736450195312,3.1665709508892275,2.415970802307129,0.17148028314113617,579.5807031479325,3.100288152694702,1796.8671875,True
a1_lived_5k,8,1317.7391357421875,2.45458841729141,3.44669508934021,0.7182333469390869,562.2536785441918,4.062270641326904,2284.026611328125,True
gate_lived_5k,1,54.0249137878418,54.0249137878418,1.2898694276809692,0.08454907685518265,924.395456710707,1.110121250152588,1026.1910400390625,True
gate_lived_5k,2,100.71170043945312,10.035521931591457,1.3128905296325684,0.17054212093353271,867.0071741763313,1.2607725858688354,1093.098876953125,True
gate_lived_5k,4,115.85806274414062,3.2808136682383973,1.3797757625579834,0.073123499751091,776.8133418092833,1.4985166788101196,1164.0677490234375,True
gate_lived_5k,6,142.5866241455078,2.2856679108143756,1.5315760374069214,0.13677619397640228,750.2611368891235,1.6570197343826294,1243.197509765625,True
gate_lived_5k,8,155.8065185546875,1.879633613618787,1.6901941299438477,0.1081051304936409,683.3086078053893,1.914575219154358,1308.2457275390625,True
a1_lived_20k,1,221.0755157470703,221.0755157470703,1.5598698854446411,0.4947003126144409,601.6020823323124,2.208580732345581,1328.686767578125,True
a1_lived_20k,2,268.4919738769531,16.385724697948305,1.9193998575210571,0.06681622564792633,239.17859183403922,6.790938854217529,1624.2471923828125,True
a1_lived_20k,4,805.4384765625,5.327311517113478,2.3445348739624023,0.12651671469211578,77.21277882619935,26.038625717163086,2010.5146484375,False
a1_lived_20k,6,818.96435546875,3.058751298052879,2.7452971935272217,0.08306262642145157,36.59711095518491,61.97195816040039,2267.99462890625,False
a1_lived_20k,8,810.6636962890625,2.309963356190222,3.0895254611968994,0.14248721301555634,10.93600045941813,237.54147338867188,2597.753662109375,False
