run,last_step,first_over_1e3,first_over_1e4,max_after_200,max_at,verdict
fm1-cw-s1,4499,,,19.9,2830,HEALTHY
fm1-s1,4499,,,121,244,HEALTHY
fm2-s1,4499,,,52.7,244,HEALTHY
gl1-ctrl-s1,4499,,,68.9,3661,HEALTHY
gl1-s1,4499,,,140,2981,HEALTHY
gl1b-nomask-s1,4499,,,95.9,205,HEALTHY
gl1b-s1,4499,,,84.2,1990,HEALTHY
gl1b-s2,4499,,,56.3,223,HEALTHY
gl1bc-s1,4499,,,70.6,3883,HEALTHY
gl1c-s1,4499,,,119,337,HEALTHY
notul-20k,19999,,,261,336,HEALTHY
notul-bc0,4499,,,58.6,281,HEALTHY
notul-bg0,2080,207,207,6.63e+11,1013,DETONATED
notul-bg0-s2,1499,237,251,3.81e+12,1439,DETONATED
notul-bg0c0,4499,,,14.5,2936,HEALTHY
notul-bg0c0-d8,4499,,,13.2,3005,HEALTHY
notul-bgpc,4499,,,830,2846,HEALTHY
notul-bws,2040,200,201,4.88e+18,1541,DETONATED
notul-bws-d1eager,599,319,324,1.82e+10,568,DETONATED
notul-bws-d2cap,999,214,239,2.96e+06,284,DETONATED
notul-l2nc,4499,,,11.6,2936,HEALTHY
notul-r1-5k,4999,,,438,368,HEALTHY
notul-r1-5k.attempt1,2080,201,211,6.55e+10,2002,DETONATED
tul-20k,19999,,,77.4,1990,HEALTHY
tul-30k,29950,,,91.5,26250,HEALTHY
tul-a2,4999,,,303,4988,HEALTHY
tul-a2.attempt1,2040,201,201,8.5e+16,1387,DETONATED
tul-a2-20k,500,201,202,3.6e+08,353,DETONATED
tul-a2-20k.attempt1,2040,401,430,1.9e+11,1110,DETONATED
tul-a2-diag,1199,329,334,6.41e+12,1078,DETONATED
tul-a2-ema1,2040,273,282,7.24e+12,1194,DETONATED
tul-a2-ema2,2040,200,200,6.15e+09,337,DETONATED
tul-a2-ema3,2499,,,32.7,1309,HEALTHY
tul-a2-frz1,2040,775,776,2.91e+15,2015,DETONATED
tul-a2-frz2,2000,200,201,1.67e+10,1618,DETONATED
tul-a2-frz3,2040,270,329,1.01e+11,1911,DETONATED
tul-a2-nt1,2499,,,10.6,467,HEALTHY
tul-a2-nt2,2499,,,9.82,223,HEALTHY
tul-a2-nt3,2499,,,20.8,2022,HEALTHY
tul-a2s,2040,275,421,3.74e+16,2006,DETONATED
tul-a2s.attempt1,2040,200,200,1.08e+08,1117,DETONATED
tul-db-cond,4499,,,52.5,1990,HEALTHY
tul-dbfix,4499,,,50.2,1990,HEALTHY
tul-g1,4499,,,45.2,607,HEALTHY
tul-g2,4499,,,48.3,1990,HEALTHY
tul-ilv50,4499,,,65.4,1990,HEALTHY
tul-l1,4499,,,49.5,1990,HEALTHY
tul-l1-adamw,4499,,,75.6,3255,HEALTHY
tul-l1-rep,4499,,,71.1,1990,HEALTHY
tul-l2-cap,4499,,,57.4,2981,HEALTHY
tul-l2cap-cond,4499,,,68.7,1990,HEALTHY
tul-l2nc,4499,,,52.8,1990,HEALTHY
tul-l2trunc,4499,,,58,1990,HEALTHY
tul-l3,4499,,,42.4,608,HEALTHY
tul-l3wake,4499,,,50.5,1271,HEALTHY
tul-l3wake-cap,4499,,,112,1271,HEALTHY
tul-r0-5k,4999,,,55.8,1990,HEALTHY
tul-sac,19999,,,68,14626,HEALTHY
tul-sacg,19999,,,60,3255,HEALTHY
tul-w1,4999,,,62.3,243,HEALTHY
tul-w2,4999,,,42.1,280,HEALTHY
